nameWithOwner,classes_n,total_loc,total_comment_lines,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
GoogleContainerTools/jib,703.0,35435.0,,6.7197724039829305,4.0,7.229233463676684,1.2119487908961593,1.0,0.6218019377547359,17.139402560455192,0.0,73.29799399614618
languagetool-org/languagetool,2626.0,214822.0,,5.376999238385377,4.0,6.2569967161798274,1.5845392231530846,1.0,0.9809096443918564,55.424980959634425,1.0,403.97758812009977
deeplearning4j/deeplearning4j,5703.0,566800.0,,8.489040855689987,7.0,9.64475152781193,2.1513238646326496,2.0,19.381738121863236,54474.45817990531,6.0,2361552.1162612913
apache/dolphinscheduler,2814.0,100193.0,,6.476545842217484,5.0,6.514441612999619,1.3724235963041933,1.0,0.6870132659134992,11.663823738450604,0.0,57.99503508315764
DuGuQiuBai/Java,618.0,10807.0,,0.7475728155339806,0.0,1.2798281382947438,1.1715210355987056,1.0,0.7222093446378496,1.080906148867314,0.0,5.189122567325844
kekingcn/kkFileView,84.0,9777.0,,7.214285714285714,5.0,6.072000580526481,1.0476190476190477,1.0,0.21423789866216114,163.9404761904762,1.0,1191.2389455226398
Netflix/zuul,520.0,22461.0,,6.446153846153846,4.0,7.627464358415986,1.5673076923076923,1.0,0.9613376105625642,25.084615384615386,1.0,138.7629650032716
janishar/mit-deep-learning-book-pdf,1.0,2.0,,0.0,0.0,,1.0,1.0,,0.0,0.0,
apache/druid,14923.0,778498.0,,7.932118206794881,5.0,9.40279538401251,1.374790591704081,1.0,1.8093858745544202,62.67935401728875,1.0,4503.141829738661
xpipe-io/xpipe,1656.0,72769.0,,6.88707729468599,5.0,6.6446209057652865,1.5942028985507246,1.0,1.235747592953384,19.919082125603865,1.0,176.53610528582905
sqshq/piggymetrics,99.0,1881.0,,6.040404040404041,5.0,4.342291297533661,1.0606060606060606,1.0,0.23982058847557647,3.8282828282828283,0.0,10.07931849417147
orhanobut/logger,18.0,827.0,,5.833333333333333,6.0,3.053445498410723,1.1666666666666667,1.0,0.3834824944236852,14.944444444444445,0.0,35.58663368080811
pinpoint-apm/pinpoint,9228.0,291100.0,,5.250216731686172,4.0,5.79509261947118,1.1367576939748592,1.0,0.4873396383160233,11.65702210663199,0.0,89.35958430244094
lgvalle/Material-Animations,45.0,1010.0,,4.4,2.0,4.058660773300383,1.4666666666666666,1.0,0.7567874686642695,4.7555555555555555,0.0,16.10781227111913
seaswalker/spring-analysis,33.0,378.0,,2.4242424242424243,2.0,2.6461092077603183,1.2424242424242424,1.0,0.7512615652314043,1.7878787878787878,0.0,3.189411934016753
JessYanCoding/AndroidAutoSize,49.0,1720.0,,5.408163265306122,4.0,4.237326040416186,1.4081632653061225,1.0,0.49658699082414787,31.285714285714285,1.0,136.30022010253688
LuckSiege/PictureSelector,737.0,39103.0,,5.108548168249661,2.0,8.605903255979422,1.237449118046133,1.0,0.6690421490487014,49.44911804613297,0.0,372.18575587684415
tink-crypto/tink,1465.0,82161.0,,7.382252559726963,5.0,7.065653211488834,1.291467576791809,1.0,1.2442609632818984,30.075767918088737,1.0,184.04645445478647
Bigkoo/Android-PickerView,91.0,4421.0,,3.7252747252747254,2.0,5.05759260708521,1.1538461538461537,1.0,0.36280012627331265,15.494505494505495,0.0,90.56359013623441
macrozheng/mall-learning,248.0,14341.0,,4.92741935483871,3.0,4.40587275926098,1.1048387096774193,1.0,0.30696498862978194,230.01612903225808,0.0,1252.9276645251007
pxb1988/dex2jar,571.0,41715.0,,5.380035026269702,3.0,6.7927376595192985,1.5709281961471104,1.0,0.9821900056078066,21.13309982486865,0.0,136.5138504920424
metersphere/metersphere,3702.0,321954.0,,6.784440842787682,3.0,11.726183227561306,1.2987574284170718,1.0,0.5465556921367275,446.2396002160994,0.0,3759.1635543837447
youth5201314/banner,73.0,2724.0,,6.082191780821918,5.0,6.157094879210338,1.8356164383561644,2.0,0.6874610823355948,47.68493150684932,1.0,350.8987617814958
alibaba/COLA,559.0,9619.0,,4.305903398926655,3.0,4.459834792651885,1.3470483005366727,1.0,0.7767599160596067,4.974955277280858,0.0,18.32031059343514
macrozheng/mall-swarm,764.0,101603.0,,3.7329842931937174,3.0,4.571197192102367,1.2316753926701571,1.0,0.4344192964871566,1106.2290575916231,13.0,8134.410503033857
plantuml/plantuml,4131.0,199755.0,,7.242314209634471,5.0,7.481056681654654,1.522633744855967,1.0,0.8734216126959804,36.48099733720649,1.0,609.494281944923
